Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
261291.93781849998,-521.042300801179,-518.512319069893,-1086.4071504307121,-722.7939920431292,-537.6440589953583,-227.46108680965298,-775.8975022611025,-616.9226406757701
261291.94181849997,-582.233388117397,-580.2140040485119,-1146.904766144054,-784.6524884789424,-597.626056634947,-290.0300587633136,-838.3205985231666,-677.3093271261024
261291.94581849995,-654.9871812698983,-653.0887236309766,-1220.059319089719,-857.7230477598963,-671.4370611067338,-363.0056886139588,-911.4431081476788,-750.7156427871457
261291.94981849994,-615.2889551659919,-613.046752144568,-1181.7239818728247,-817.5181966669198,-634.8103226681438,-321.98251047056294,-871.0604035255794,-712.8399133156137
261291.95381849993,-525.4517935755007,-522.7039696472773,-1090.8436224590835,-727.2694050012938,-542.0804873679787,-231.62676221525817,-780.15411259581,-621.2841557798646
261291.9578184999,-566.2112036720235,-563.9230311449134,-1130.9205622019545,-768.5473581068794,-581.8397005558775,-273.86599312755015,-822.1684945631469,-661.5399531341288
261291.9618184999,-649.7064070193285,-647.7190226158452,-1214.4577623816149,-852.5701848594321,-665.5437530154367,-358.08262958617564,-906.3122477456627,-745.0751451492483
261291.96581849988,-628.6062729420169,-626.490977188428,-1195.1992024998162,-831.1442915689846,-648.4484229017032,-335.97732184463854,-884.941273389834,-726.478013549173
261291.96981849987,-534.5195295927114,-531.8216914992561,-1100.3800466178413,-736.4670168773999,-551.8926412493532,-241.03324503149406,-789.5445519235942,-630.9134357207639
261291.9438436,-550.9803670230201,-548.6292429031274,-1116.2083122177646,-753.3565537814413,-567.3183135145755,-258.6241770571979,-806.9516714101787,-646.8037361427008
261291.94784359998,-640.9933739780932,-639.00598957461,-1205.6438409000743,-843.8282080553572,-656.5479616756916,-349.4645259752491,-897.6161967915234,-736.1133179836951
261291.95184359996,-639.8402946298548,-637.7809655489061,-1206.2613078406523,-842.3803214213635,-659.5974904983108,-347.3142401373226,-896.2452315905967,-737.6060827296028
261291.95584359995,-548.1446204125057,-545.5267159989287,-1113.9961006972017,-749.9382211753096,-565.9863765549438,-254.39555005881044,-803.076786961247,-644.6564407237101
261291.95984359994,-537.8738628680394,-535.4997321674281,-1103.0858300579584,-739.8672760026635,-554.3946396443191,-244.93211831553947,-793.4074746967823,-633.6852266562256
261291.96384359992,-629.5575317538941,-627.6800288753991,-1194.169014090331,-832.1195610438509,-644.9042744215086,-337.7758732976502,-886.0723938953751,-724.5885489949345
261291.9678435999,-648.557344000172,-646.7048122111858,-1214.8644593568993,-850.9944741868346,-667.7030101101709,-356.06224143502016,-905.0532158900161,-745.7346089221817
261291.9718435999,-564.0859107514812,-561.6728391210767,-1130.2590902644802,-765.8215803328551,-582.4022485618367,-270.3398089888464,-819.2858180204264,-660.8275349353669
261291.97584359988,-527.8418586251865,-525.4287869947821,-1093.1837453297521,-729.7074477212069,-544.2747563749261,-234.6183816843227,-783.1496829103301,-623.510380796463
261291.9498256,-615.2869470014509,-613.3714636196823,-1179.8155270669492,-817.8269301372088,-630.3968572204911,-323.3224364326074,-871.6289760251614,-709.9112672672069
261291.95382559998,-654.1169038759207,-652.2283997482017,-1220.0532945960963,-856.812825353855,-672.4272608484043,-361.8136465080518,-910.5878046762562,-750.7365975475726
261291.95782559997,-581.2621349716125,-578.8970410114352,-1147.598281402681,-783.194648333746,-600.1150892718988,-287.6169871329091,-836.5769878326491,-678.2266217637879
261291.96182559995,-521.9725611968785,-519.4415753833221,-1087.460301765165,-723.7701782887642,-538.437414956269,-228.46429596508844,-776.913720830303,-617.4751915147757
261291.96582559994,-599.8772527410541,-597.8588727544395,-1164.5946875848995,-802.385279867161,-615.0301638747202,-307.81783456977723,-856.0174175726524,-694.5505547593078
261291.96982559992,-656.5129934192292,-654.6204729624284,-1222.1396029310947,-859.2058589946013,-673.9530293419843,-364.44755075432965,-912.9239112178429,-752.5841089252066
261291.9738255999,-598.3434952450613,-596.0603431293033,-1164.7854632162855,-800.5078206444169,-617.7010227141259,-305.14396348356024,-854.0070702442015,-695.7545803688339
261291.9778255999,-521.0153215471294,-518.3154752891332,-1086.4741183525764,-722.8758902317975,-537.5491077371742,-227.49507281172026,-775.8435437530034,-616.8267289910665
261291.98182559988,-583.7182075166429,-581.5399165145209,-1148.6483768345718,-786.2072443911129,-599.0349586833964,-291.572831171865,-839.7514594143134,-678.6542734994991
261291.955605,-655.2250178007431,-653.2416060705908,-1220.4280355617298,-858.0717698979998,-671.6438583986964,-363.39839392108325,-911.6949145188081,-750.7306603654516
261291.95960499998,-614.1158814838462,-611.8746825446927,-1180.496906026829,-816.5540157527794,-633.7002005787806,-321.1961394297945,-870.1661591243636,-711.7368198021436
261291.96360499997,-525.1320588559877,-522.4522069318989,-1090.5438820734778,-727.162492067366,-541.9066501679376,-231.76065440323555,-780.1980302812046,-621.1502635918872
261291.96760499995,-567.4032239500551,-565.224976603684,-1132.3634720803466,-769.8603484706251,-583.2025894428897,-275.27085701904235,-823.6203102147205,-662.6940365646376
261291.97160499994,-650.0471401550192,-648.192643857243,-1215.1502299022204,-852.7970201410527,-666.143277442399,-358.4403448089623,-906.8497373506115,-745.5378087971728
