Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
261267.5132201,-625.7745426605842,-625.9454112695648,-1195.4859334716568,-839.2588479212789,-654.8542931641914,-341.3600104456594,-884.8164179422907,-721.0973112848177
261267.51722009998,-642.4912027911041,-642.6720249112875,-1213.924201794246,-855.8265546297646,-675.7046290349147,-357.56504700363246,-901.6898895300048,-740.5228107580168
261267.52122009997,-556.5858964044552,-556.257168600259,-1127.8740019703957,-769.1649123589591,-588.7701383210511,-270.37377316303827,-814.4596747596174,-653.83410192166
261267.52522009995,-523.9829521810802,-523.6052862801372,-1094.4877426088146,-736.7127987549065,-554.1977958635593,-238.34839452392842,-781.9746447193945,-619.8672647290024
261267.52922009994,-612.2024062666186,-612.3033383626746,-1181.9158052422322,-825.5108661627313,-641.0253736434951,-327.7688838000569,-871.1962602223468,-707.3563144464123
261267.53322009993,-648.280566539534,-648.4823870758951,-1219.3408327415834,-861.6628919661513,-680.574733636869,-363.5552490340284,-907.4232866057947,-745.4908352092159
261267.5372200999,-574.0829030821209,-573.8131105416252,-1145.5098775916401,-786.8817257423522,-606.7757344965768,-288.0066801932222,-832.1235773729328,-671.5979325487608
261267.5412200999,-516.8506502237947,-516.3610509775715,-1087.3494161579063,-729.5675746953577,-547.175419087013,-230.88834701684158,-774.5466187055849,-613.0627301493935
261267.54522009988,-596.5369329617614,-596.444033523869,-1166.0454554984517,-809.808416436871,-625.4508352677402,-311.8246248700209,-855.2740474465099,-691.6898370592847
261267.6180936,-650.8065319417381,-650.7535775159095,-1221.2123547822064,-864.1379111070677,-682.1235087111678,-366.07025684275936,-909.80645404684,-747.3893365038886
261267.6220936,-591.7837384606885,-591.373068812073,-1163.1607707911905,-804.6284869708553,-624.9142624335602,-305.85439534565677,-849.9992103780611,-689.6244834847133
261267.62609359997,-514.9362145800474,-514.2287731368867,-1085.4429695165718,-727.5341771304372,-545.312890131073,-228.79402785155511,-772.4062645509857,-611.1902040264999
261267.63009359996,-580.2969063194506,-580.1420593710463,-1150.0153257064164,-793.48247527681,-609.4765848368434,-295.5176739615968,-838.9071571921149,-675.7126180373274
261267.63409359995,-649.8482882097186,-649.9372149742801,-1220.0233467509863,-863.3005938050114,-680.3719090182375,-365.32583897859547,-908.8851430800728,-746.0144422853818
261267.63809359993,-608.1896133006276,-608.0297459408711,-1179.612615136816,-821.1593482255904,-641.6858414986988,-322.52307780594936,-866.6489025867168,-706.0823523239616
261267.64209359992,-518.6612288361763,-517.9647886422398,-1089.1559784412061,-731.2102532898192,-549.1898264002966,-232.4520960136953,-775.9844645168739,-614.8103135132419
261267.6460935999,-564.162832184548,-563.9060490578174,-1133.9911330965024,-777.1804574682365,-593.469374314025,-279.07482270065447,-822.5381714616772,-659.3896891240778
261267.6500935999,-645.400858587874,-645.4448199290196,-1215.250114260255,-858.8222122557864,-675.0461693442517,-360.847435601495,-904.2928200210268,-740.7445819725343
261267.71977609998,-622.5741395628917,-622.4691911377539,-1193.9801593119842,-835.722644787746,-656.2122052956022,-337.11640952471686,-881.265197230452,-720.5897258692281
261267.72377609997,-527.579094660584,-526.8826544666475,-1098.1667873592571,-740.1620396326679,-558.4773691232347,-241.1951205557915,-784.9283055130608,-624.0649398000095
261267.72777609996,-548.5353393829646,-548.233590832818,-1118.634436917685,-761.5689863272294,-578.3464983369706,-263.2744531255495,-806.790756312401,-644.2687776558134
261267.73177609994,-637.1344675339869,-637.2683597219643,-1206.887855177415,-850.6806766494426,-666.5469621708721,-352.737899660553,-896.1513717261847,-732.5591286807959
261267.73577609993,-633.9620041168636,-634.0349528765995,-1205.4300150322188,-847.149537583013,-667.7399865311742,-348.76808578131255,-892.9798687355809,-732.2554156218592
261267.73977609992,-540.7535708196993,-540.2399609104871,-1111.6110124031172,-753.3115883580255,-572.4392204053888,-254.39456780441543,-798.4165355538173,-637.8588910642435
261267.7437760999,-534.9262265679957,-534.6744201968664,-1105.3090428277455,-747.8359348354859,-565.4058423796183,-249.54044120728642,-793.2725784265344,-631.3271176161907
261267.7477760999,-626.0363461986672,-626.1912368028223,-1195.6698114944024,-839.4806191357964,-655.3309266524004,-341.6487714099165,-885.218050850472,-721.6169020319018
261267.75177609987,-642.8798699412713,-642.9867828751991,-1214.13008231544,-856.1912547726936,-676.0433540060644,-357.8048480432672,-902.0046474939165,-740.47583717006
261267.801939,-556.956577385256,-556.565902070548,-1128.069841668885,-769.5935245211899,-589.0199365276395,-270.61558236721396,-814.7474534694795,-653.7681817378171
261267.80593899998,-523.7651536398937,-523.4733586009498,-1094.139020470711,-736.5789502226801,-554.063903675582,-237.9626959648217,-781.7797654474248,-619.5665202611262
261267.80993899997,-612.1584449254731,-612.3493078683609,-1181.679016449409,-825.6317052811928,-641.0992828297506,-327.5850276051867,-871.1782740529804,-707.0635589809489
261267.81393899996,-648.8371337076213,-649.0539281665374,-1219.7725008063765,-862.235480794815,-681.2472068235675,-363.9039711721319,-908.050794369077,-746.0253562231042
261267.81793899994,-574.8143115325197,-574.5725023283441,-1146.110406100873,-787.55515935557,-607.6080750430316,-288.66815213069646,-832.9818494354158,-672.2324252321855
261267.82193899993,-517.2763374507159,-516.8416571391115,-1087.7211012209775,-729.9742280148913,-547.6640142509657,-231.32501366511153,-775.0801792929536,-613.3015271067577
261267.82593899991,-597.0525073797637,-597.0835029628952,-1166.6180443271155,-810.290987107201,-626.0533282857631,-312.2542847702731,-855.8515257192732,-692.2044510507675
261267.8299389999,-651.3600868630141,-651.4680038792123,-1221.7998738776744,-864.7594816882291,-682.8079435736098,-366.4829128280402,-910.4329140721011,-747.9728392702746
261267.8339389999,-592.510170155486,-592.2523829464848,-1163.7943030480956,-805.445897250506,-625.7555524089474,-306.3969708455841,-850.767638905214,-690.2739937464439
261267.8126016,-515.3888374052674,-514.7673541356077,-1085.8136941531234,-727.9388659411808,-545.7745496967271,-229.04882464162034,-772.8669200343693,-611.3411219573242
261267.81660159997,-580.5677029422168,-580.417832749414,-1150.1182659670135,-793.6963011446657,-609.6065043514898,-295.555632636995,-839.1958963284966,-675.5957079364458
261267.82060159996,-650.1031068276593,-650.0911014961647,-1220.0043128435987,-863.484471827757,-680.52077512877,-365.3598249806628,-909.1668972963122,-746.1372895683843
261267.82460159995,-608.6602659509648,-608.4144404177074,-1180.1202442081565,-821.5849917967608,-642.2064363280534,-322.76586926452006,-867.2304845000637,-706.7328230122117
261267.82860159993,-519.0619013178381,-518.3504872013465,-1089.5626754164905,-731.5719411859368,-549.6684243972957,-232.5260488557017,-776.4610106935812,-615.2519787449886
261267.83260159992,-564.1608240200072,-563.9869868199661,-1133.9291419302394,-777.2124134778874,-593.6472714988988,-278.9509276796307,-822.6880853102309,-659.4955979757352
261267.8366015999,-645.5977023686338,-645.7395835590239,-1215.4099816200116,-859.0349903856207,-675.3489219766689,-360.93935278499237,-904.6914843381476,-741.0473782607023
261267.8406015999,-622.7030113395168,-622.7440040896018,-1194.1879606862171,-835.8165919636598,-656.4969717586529,-337.0604428520768,-881.5400538380509,-720.7286384685577
261267.84460159988,-527.9468070503243,-527.4192273008275,-1098.563443511837,-740.5037768506292,-558.9599834493156,-241.41894359060078,-785.4248460236754,-624.3057449219147
261267.8188814,-548.8011155943785,-548.581308888651,-1118.8262602870925,-761.8028065289923,-578.7122025621701,-263.44632581680054,-807.2234721152154,-644.5715302882305
261267.82288139997,-637.5761327657336,-637.684049781932,-1207.209598061469,-850.9504691899383,-667.0135984921275,-352.8568179259754,-896.6519285658811,-733.0078224884359
261267.82688139996,-634.5005851155845,-634.6284964656901,-1205.9166020316306,-847.6590875073925,-668.2875606145783,-348.9979114818691,-893.5563865818247,-732.5341575912872
261267.83088139995,-541.1652008948342,-540.7515626551584,-1111.9916905508717,-753.791190437295,-572.8788774725947,-254.59839650531742,-798.8651420499555,-638.1416493627534
261267.83488139993,-535.0760967607987,-534.8612668106725,-1105.3220522415104,-747.8799398323822,-565.4218203844438,-249.38155610192493,-793.2965890895235,-631.1702625032456
261267.83888139992,-626.3460837512265,-626.4829881860153,-1195.8177171784155,-839.645550562656,-655.4398477508691,-341.5928265651519,-885.2960200215603,-721.3271588132496
261267.8428813999,-643.5673170505246,-643.6762381489933,-1214.692630321399,-856.8047926956914,-676.6758385249482,-358.2335256891244,-902.5472011659684,-741.0973204397196
261267.8468813999,-557.6580379905448,-557.3033350145695,-1128.6743865071996,-770.3739147240865,-589.8752836548131,-271.21809721311223,-815.4208870826975,-654.6814600464207
261267.85088139988,-524.3926177474252,-524.0808720303249,-1094.7285477307198,-737.1714460737493,-554.729391942138,-238.4473184554435,-782.2754328430216,-620.3479145462933
261267.82378059998,-612.8289099476305,-612.9268297968752,-1182.2665355448767,-826.1223086096863,-641.7298028398443,-327.97472066549983,-871.6099421177736,-707.8189344385859
261267.82778059997,-649.4586169772809,-649.542566986241,-1220.278121713176,-862.7090583804618,-681.696817401976,-364.205741550154,-908.3156101539714,-746.35111543624
261267.83178059995,-575.3998661191974,-575.0341182382472,-1146.6090420875303,-788.0717815115937,-607.9857845997255,-288.8999641679185,-833.209645143556,-672.4982014435993
261267.83578059994,-517.7609599413378,-517.2953277023528,-1088.103787533273,-730.4548341764313,-548.0487087278019,-231.53183278494944,-775.3329460906025,-613.6182932352103
261267.83978059993,-597.3692735082163,-597.4671933574609,-1166.8568412844797,-810.6776897485781,-626.2861444052556,-312.4841104708297,-856.0244024927947,-692.2314303048171
261267.8437805999,-651.7647756737576,-652.0105575512642,-1222.2645456901398,-865.2699920391283,-683.2255981423674,-366.9105645637515,-910.8056468731937,-748.1786324799666
261267.8477805999,-592.9298328887845,-592.799913374138,-1164.1259994433522,-805.8904874175623,-626.2052066431069,-306.8476073341386,-851.2342315707185,-690.6057337974514
261267.85178059989,-516.0033357547848,-515.5087597529603,-1086.2582843201799,-728.6892646432165,-546.4389902252618,-229.56442088749807,-773.4764416282853,-612.0924810858794
261267.85578059987,-580.9713876706899,-580.9444084166403,-1150.5149221195934,-794.097934052847,-610.184026280004,-295.8004540879821,-839.4946762875827,-676.1882474432659
261267.8375398,-651.0033757224978,-651.1253062347316,-1221.0414861732258,-864.3427438902402,-681.62190413345,-366.07924992744256,-909.8883522355083,-747.0395666277637
261267.8415398,-609.4256385755556,-609.3297268908518,-1180.8956576554517,-822.3033908333947,-643.104697058351,-323.2934490140169,-867.7880557504214,-707.2743726019932
261267.84553979998,-519.5604936487445,-518.9849798847712,-1090.0103214861092,-731.9876312459045,-550.2859349936244,-232.7828319824324,-776.8037956495638,-615.733588988799
261267.84953979996,-564.6094741718962,-564.5285364097475,-1134.4187848322135,-777.6201581911931,-594.3656705355327,-279.18073155231184,-823.0707716225263,-659.9492248832256
261267.85353979995,-645.8744798292718,-646.085337106067,-1215.8366729292034,-859.2718664899459,-675.9893954979653,-361.01730012820514,-904.9083661085655,-741.4790463254955
261267.85753979994,-623.2495813406505,-623.3464971076247,-1194.9084551988938,-836.3202047059184,-657.3183547116346,-337.44214690997717,-881.9986138453918,-721.3991034907152
261267.86153979992,-528.1656096737814,-527.7159990953728,-1098.8651920619836,-740.6746454596097,-559.454603106891,-241.44190651556855,-785.52080136413,-624.7653526672769
261267.8655397999,-548.9839895348537,-548.8370879331113,-1118.9771345621657,-761.8547568725505,-579.1098627970205,-263.2924392949159,-807.1654972780344,-644.8383105819149
261267.8695397999,-637.6340639471638,-637.7989517182725,-1207.3105301575251,-850.9155445892269,-667.1584482735781,-352.70493956863163,-896.465081952075,-733.0087829149554
261267.8440023,-634.6494512261169,-634.7583723245856,-1205.9505662058225,-847.7360962519612,-668.4194446380147,-349.0088909032178,-893.4544940592491,-732.5861079348455
261267.8480023,-541.4539836869668,-541.0193470311132,-1111.9577263766798,-753.9411042858487,-573.074717171084,-254.75326528159712,-798.9251250516772,-638.2066091200766
261267.85200229997,-535.1410565181219,-534.9281910767858,-1105.1201880493984,-747.9827927814773,-565.3988574594761,-249.3266153394308,-793.2635853418512,-631.0513442378232
261267.85600229996,-626.3560809181802,-626.5749271973881,-1195.7667272613767,-839.8443588522058,-655.4687915137088,-341.56883773003824,-885.2720093585712,-721.2701880583392
261267.86000229995,-643.4913996997282,-643.7012092385021,-1214.6436485689014,-856.6869221682904,-676.62388818139,-358.0606489156029,-902.4273224740265,-740.9554392493295
261267.86400229993,-557.5970945623034,-557.2553573443422,-1128.6144035054779,-770.0771429295413,-589.7673666386148,-270.9852810936198,-815.2999606527342,-654.6534767101007
261267.86800229992,-524.1338264561537,-523.7930933204628,-1094.3848023482178,-736.7718213301089,-554.4426173145464,-238.0736033999559,-781.9506340564054,-620.0061773283321
261267.8720022999,-612.4991780611639,-612.6020746660098,-1181.9268064914563,-825.6777184426301,-641.4240379606158,-327.5450607652476,-871.2592118151292,-707.3882704560633
261267.8760022999,-649.2497678650267,-649.4576128950105,-1220.1052449396545,-862.4342890843648,-681.6119069664963,-363.95993784477196,-908.1996604796095,-746.3241361821904
261267.8493233,-575.2949176940597,-575.0741069060617,-1146.4721376527414,-787.9168909074385,-608.0107556892343,-288.79905389973794,-833.1886903831293,-672.5391505379336
261267.8533233,-517.5531149113539,-517.0734691763334,-1087.7570735597103,-730.0571739415809,-547.8318706131349,-231.14914647265408,-775.0871642130959,-613.3634746172696
261267.85732329998,-597.2833589904662,-597.289339828338,-1166.6870204135205,-810.3409292862183,-626.3071428214333,-312.0774353234207,-855.9344716459628,-692.3553253258408
261267.86132329996,-652.0205547182179,-652.1994123296112,-1222.4853564781376,-865.2340197003955,-683.5433683530904,-366.7476849571836,-910.9525048191852,-748.574328206027
261267.86532329995,-593.0047461573105,-592.8139268701735,-1164.3658441387379,-805.6337042908317,-626.2411789818397,-306.4379417677937,-851.0394396102506,-690.5087743747264
261267.86932329994,-515.7115843715918,-515.167022534999,-1086.1694012113692,-728.1167194703037,-546.2101904348511,-228.92892412180296,-772.947857796518,-611.5269644888598
261267.87332329992,-580.7125963794183,-580.6516529511769,-1150.3161138300436,-793.6852998954416,-610.0021564217993,-295.24988958564205,-839.0779384895937,-675.66267585831
261267.8773232999,-650.793566183724,-650.9274583717014,-1220.8327243724734,-864.0600292474812,-681.3990851809112,-365.64657778037895,-909.6075584457885,-746.7168633171902
261267.8813232999,-609.1888061269813,-609.121881860868,-1180.6218487858741,-822.0256529462372,-642.8569070163036,-322.92774478881745,-867.4753059510507,-706.999603305896
261267.8536537,-519.4365986277206,-518.9090188782238,-1089.8833705625232,-731.825755721607,-550.152042805647,-232.44011251007618,-776.5120006106199,-615.4068693491438
261267.8576537,-564.6104782541667,-564.5215514896053,-1134.2919212201293,-777.3783053312666,-594.1858088418688,-278.8350216610197,-822.7490287384724,-659.7493688556546
261267.86165369998,-646.4939985901414,-646.7128012135985,-1216.263364238395,-859.6925333055149,-676.3850912240257,-361.37900985219824,-905.2160518408331,-741.801749636069
261267.86565369996,-623.6472415755009,-623.746165507016,-1195.2041792554176,-836.6029193486773,-657.4911878294051,-337.6619754435801,-882.1165716842946,-721.563947606073
261267.86965369995,-528.6392309151792,-528.1766109230055,-1099.3118777050827,-741.0873669285169,-559.8542715062823,-241.821602408928,-785.8585222530094,-625.0921159626831
261267.87365369993,-549.2367563325025,-549.0848779751587,-1119.2059780083273,-762.0875293362922,-579.3007257399083,-263.4862926567397,-807.4252489958255,-644.8702665915658
261267.87765369992,-638.1206946023265,-638.280561962083,-1207.7491831424604,-851.4201177580051,-667.5971012585135,-353.29147640970444,-897.0586255411656,-733.4424591442894
261267.8816536999,-635.0291689473518,-635.1070944626891,-1206.4771418730488,-848.0877869811252,-668.8091595262033,-349.379593711894,-893.8681759546758,-733.1746747683346
261267.8856536999,-541.7127749782384,-541.1642404683147,-1112.4563623633371,-754.1159019124093,-573.2965320413524,-254.92712430951366,-799.097914513697,-638.544330008956
261267.8576614,-535.2909267109247,-534.9432086550917,-1105.3340139172542,-748.0137883646088,-565.3898643747929,-249.4245351886754,-793.2435910079439,-631.0283376571045
261267.86166139998,-626.8396993265316,-626.9366150935057,-1196.1734242366613,-840.1401702202315,-655.8744844067228,-342.02846730327593,-885.7036774233643,-721.8846864078565
261267.86566139996,-643.774157998238,-643.8671010918813,-1214.8024681906365,-856.9956556385793,-676.9226681404762,-358.3534262089418,-902.6771206806148,-741.5330048335946
