Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
99675.8852012,-295.89036310693854,-414.6074410013412,-834.5116342580777,-248.36837160741126,-572.3842578150193,91.75961897846426,-686.2961690369152,-102.96065874650546
99675.8892012,-252.17432362568886,-372.4761052773721,-783.031812382929,-203.74106198209893,-527.8908403776843,133.75203118916602,-644.1418703879783,-59.693263960175955
99675.8932012,-263.60418501201616,-387.4231795455953,-783.0487508142741,-215.49367033475062,-539.1958026607174,120.81937514816414,-659.4536447991305,-75.15090314898697
99675.8972012,-295.57062838742553,-418.3324552574701,-820.2260755830796,-248.21051241219567,-571.5868855250267,90.07996396299954,-690.2959525891412,-106.67568674961842
99675.869326,-300.353792561484,-419.83526082608233,-837.7790052776344,-252.939718078155,-577.0205422152108,87.04938719323516,-691.5779473697555,-108.26242049931533
99675.873326,-257.8777728563686,-377.7169345158782,-792.0206188025319,-209.57139665273837,-533.9919498432145,128.4332873492602,-649.3337178739868,-65.01500913295538
99675.877326,-257.590998228777,-381.4099927623562,-778.0127980146913,-209.38555412120274,-533.4763754252122,126.58975955889488,-653.4783948634142,-69.01880355729429
99675.881326,-291.26206770915974,-414.7523344385427,-814.7294673001131,-243.90994073634263,-567.6879904131059,93.8159685544148,-686.8317377888249,-103.1165316050556
99675.885326,-302.82383494679897,-422.92578239878657,-838.3605871909813,-255.67453259261342,-579.6394507110582,84.20066391076891,-694.7863831256117,-111.46486450336191
99675.889326,-265.4507141352551,-384.6633939416282,-802.2324847390485,-217.41212230757966,-541.8206919944366,121.3799259035201,-656.2042162931895,-72.05837341174185
99675.893326,-252.7588741300962,-376.14318835207087,-774.387711772348,-204.537430189821,-528.5882846538913,131.61574793333722,-647.9548073263982,-63.40329337981209
99675.897326,-286.6088012218723,-410.36580458918866,-808.5224053271747,-238.98087904281218,-562.7459847894368,98.45226386854405,-682.145467553865,-98.32236618177302
99675.901326,-303.7630665993062,-424.36664045688696,-836.7428796860283,-256.3350004478172,-580.20998771943,83.40629841061887,-695.8455152979362,-112.54199375899063
99675.8728097,-274.4914927262916,-393.0836278616492,-812.7940332401882,-226.23108602834776,-550.548698958227,113.12453609885706,-664.2537692324096,-80.38971330901451
99675.8768097,-249.69430590129568,-372.24429324015006,-772.7810055166192,-200.8923496135704,-525.0391157623444,135.28081192955742,-643.7271844102812,-59.13071049724794
99675.8808097,-281.8156180529847,-405.6336085042934,-802.2324847390485,-233.77903438985015,-557.3422759443628,103.44926482439591,-677.1414707639332,-93.19147303794377
99675.8848097,-303.6042033218202,-424.62141541907675,-833.847193729543,-255.94033063190275,-579.2417904762078,83.65710069947774,-695.7745747027412,-112.4900434154324
99675.8888097,-283.87398670741385,-402.0444946006828,-822.7260658135046,-235.4337183158062,-559.2997125027359,104.76222244632848,-672.6880603042168,-89.1866745313344
99675.8928097,-249.27564725026755,-370.9003946047747,-774.3677174384406,-199.96507963680682,-523.9749631786675,136.7446438265633,-641.7427685978585,-57.26520203630986
99675.8968097,-276.6607469879795,-400.4757251924769,-796.0553706112202,-228.1175601636504,-551.6608292121311,108.87592568049999,-671.5959243842199,-87.63991307854548
99675.9008097,-302.66595392370795,-424.0848425848967,-830.4468472927776,-254.54544207948877,-577.8638840108897,84.73823537025055,-694.98021465956,-111.66270145245436
99675.9048097,-292.33521337751984,-410.5047171885183,-831.119320479476,-243.83199339312984,-567.6170498179108,96.67668625443787,-680.9484268644812,-97.61693290315328
99675.8887388,-251.00825669156097,-371.84261667621786,-778.9700813201912,-201.7376777459148,-525.7235506247864,135.59755623013453,-642.4622153725136,-58.09753712579585
99675.8927388,-270.5676265248621,-394.43857140199947,-789.675519176262,-221.86756275971237,-545.5886635094406,114.740235439269,-665.5447570977071,-81.4808396897721
99675.8967388,-300.30184221792575,-422.45914607753116,-826.3171878816561,-252.09039544460424,-575.7785361024111,86.63871208765093,-693.4484216723573,-110.09096345318791
99675.9007388,-298.74809038802573,-417.2133400834236,-836.7618262819143,-250.28084274236846,-574.1298766700777,90.28180087026722,-687.7819925184316,-104.62232759260381
99675.9047388,-255.05802607855514,-374.98312408369026,-786.0754040234273,-205.57859802065468,-529.8143127618656,132.31319220954424,-645.4678265097382,-61.26300470883921
99675.9087388,-264.4575021467733,-388.19457666380873,-783.8501830890993,-215.65853627798396,-539.3796370277122,120.9872424242711,-659.0889010004507,-74.94106632536882
99675.9127388,-297.13638554882016,-419.8762099204165,-821.3511715949979,-248.94091678032407,-572.4601751658157,89.51840912537311,-690.6976291530734,-107.25123325540486
99675.9167388,-303.12857391588153,-422.506119665488,-839.9073104449881,-255.26087252506213,-578.9140230985312,85.27280549685854,-693.0877378585101,-109.92509342768413
99675.9207388,-261.03225010412564,-380.63558339733135,-795.1560621429012,-212.1163741344548,-536.3250877937407,126.56279121878305,-651.0433643903124,-66.95145818908853
99675.8957307,-259.0258536211301,-382.5081095202249,-779.0709261047455,-210.19390583254395,-533.9469844197985,126.4348907826152,-653.3335014262127,-69.06077310480546
99675.8997307,-292.8348097906966,-416.1142192432844,-815.3739134947406,-245.0360408305314,-568.20758116019,93.20945920731015,-687.1075111671923,-103.48823849600231
99675.9037307,-305.004090457711,-425.0460985637276,-839.6674657496025,-257.26425676124626,-580.877484150527,82.9626522991755,-695.9174599754018,-112.69987478208168
99675.9077307,-268.24147349447816,-387.1913675083733,-804.7884416421135,-219.54542605841024,-543.6192652753238,119.6732916340058,-657.7360092803922,-73.78799243409935
99675.9117307,-253.60119001562924,-376.74170869676277,-775.0112032065485,-204.6013858648738,-528.5343261457922,131.86854747279926,-647.5891031011988,-63.22743710129238
99675.9157307,-287.4511171074053,-410.9703494275033,-808.7652186136208,-239.3296011809157,-562.7459847894368,98.53020029781912,-682.0325737820655,-98.33036609812348
99675.9197307,-305.0130835423942,-425.4467710453893,-837.237412032102,-257.271263509264,-580.617688776985,82.71684859379346,-696.4979941507273,-113.24943520215128
99675.9237307,-276.5977953951972,-394.9151612344577,-814.6924472233591,-228.1375544975577,-551.9596091712173,111.59475127619521,-665.7056285397341,-81.9384720124066
99675.9277307,-250.08600712614967,-372.33623225152286,-773.1007402361322,-201.0172487168646,-524.847292392937,135.51961980085946,-643.4334248625472,-58.96884042991938
99675.90259269999,-281.45192199232616,-405.10201242571475,-801.7288719967898,-233.27745164000785,-556.6268454987893,104.16669252057248,-676.3411298828802,-92.48803700992721
99675.90659269999,-303.33840528253086,-424.4445659722243,-833.3795533260171,-255.8244027854163,-578.9579844396767,83.91289611484456,-695.5407545009783,-112.19227845255439
99675.91059269999,-284.3326121983811,-402.8458395640063,-823.7641995696515,-236.25806985984832,-560.2279647338945,103.81997854700988,-673.6812286369477,-90.08695434011068
99675.91459269999,-248.29243242873937,-370.1459795736572,-774.3497312690743,-199.4335053861036,-523.5503236897677,137.26123324077378,-641.2281982621266,-56.71364436563708
99675.91859269999,-274.829213615171,-398.7401035043721,-794.4586178666941,-226.70769768868138,-550.1929918999812,110.21586255648212,-670.1780292510873,-86.23503827311555
99675.9225927,-301.18113452446204,-422.88880597778336,-829.0879310790964,-253.68413594231887,-576.9106170344717,85.53559674630537,-694.2158461172397,-110.93528750326188
99675.9265927,-291.94752848174767,-410.29586807626407,-831.0464153754909,-244.03383575736638,-567.7319954100022,96.32996136693755,-681.321116009823,-97.96565504125678
99675.9305927,-249.87717984177084,-370.6495923159158,-778.3925157359262,-200.87634978086948,-524.8522691485383,136.1691082347146,-641.7757723455308,-57.35812875904654
99675.9345927,-268.43932135750833,-392.2493228064043,-787.6360971177188,-220.09199605954393,-543.5163250147268,116.44887787332421,-663.7432152257595,-79.62632156412039
99675.910528,-298.3124278220262,-420.61464694670855,-824.2078293101882,-250.59660478855056,-573.905049552998,88.0136117631265,-692.04257552647,-108.60914538681564
99675.914528,-298.0156778553564,-416.8646179453201,-836.2432832728516,-250.37376400813628,-573.9929722352889,90.0190096208204,-687.9787926434404,-104.73423911000846
99675.918528,-254.25866745189714,-374.4875003438444,-786.0244141063887,-205.627557945277,-529.7493530045424,132.23225444739552,-645.5217850178374,-61.20205582362893
99675.922528,-262.8537863099805,-386.7676884459929,-782.6221468165842,-214.51744043336473,-538.323473446448,121.83956639069552,-658.2675617032199,-73.99482792484386
99675.926528,-295.50368229343684,-418.5013157019098,-819.9052931255452,-248.05762997258142,-571.4000389112207,90.27780091209199,-690.055147467236,-106.4858388029387
99675.930528,-302.519074149841,-422.027478012738,-839.3797743512422,-255.29184628031808,-578.7731459904115,85.20985390407621,-693.2825734747289,-110.10994279088703
99675.934528,-261.27604564496676,-380.7475167426115,-796.0094447612846,-212.79882266023134,-536.9446065546103,125.7953995157137,-651.6998159164344,-67.64990109059713
99675.938528,-257.3701874407791,-380.9024073467666,-777.9588395065922,-208.81800753176677,-532.784911986877,127.59595913326626,-652.2094094965648,-67.9936246452238
99675.942528,-291.47091682141405,-414.8002684530191,-814.1559180449299,-243.62716060995737,-567.1944184935518,94.26361462403338,-686.1892561029874,-102.71285779052023
99675.91838239999,-304.773260674884,-424.75329944251325,-839.2538711656775,-257.3461986056654,-580.7815288100725,82.86972557643882,-695.9894046528673,-112.93568132051007
